id,source,url,author,published_at,title,text,text_clean,lang_guess,tag_unpad,meta
x_1985967833810194587,x,https://x.com/i/web/status/1985967833810194587,1973969836209553408,2025-11-05T07:10:03.000Z,,@unpad lagi mikir gmn caranya bisa disana,lagi mikir gmn cara sana,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985967439704965231,x,https://x.com/i/web/status/1985967439704965231,135815019,2025-11-05T07:08:29.000Z,,"Honor punya tablet untuk kamu yang aktif dan butuh fitur AI. Inilah harga dan spesifikasi Honor Pad 10 terbaru untuk November 2025.

https://t.co/HON2dR86Xn",honor punya tablet aktif butuh fitur ini harga spesifikasi honor pad baru november 2025,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985967212612723080,x,https://x.com/i/web/status/1985967212612723080,1553198422299095040,2025-11-05T07:07:35.000Z,,"WTS REDMI PAD 2. belum sebulan dipake. Masih mulus, pembepian nnt dikasih Paperlike screennya sama case lucuknya (case bs 3 pose) Garansi masih ada kotak ampe ke dus orinya masih ada, garansi masih ada, masi mulus ga lemot ga pernah diapa apain. 
Tawar aja dulu #zonauang https://t.co/vmweVvS82F",wts redmi pad belum bulan dipake masih mulus pembepian nnt kasih paperlike screennya sama case lucuknya case pose garansi masih kotak ampe dus orinya masih garansi masih mas mulus lot pernah apa apain tawar dulu,id,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
x_1985967058379554853,x,https://x.com/i/web/status/1985967058379554853,1734036638605733888,2025-11-05T07:06:58.000Z,,pad! overkontrak Avisha Residence puri indah november 2025 - juli 2026 (&amp; nerusin lg kl mau) bisa masuk tanggal 10/11 november abis aku wisuda. kalau minat reply yaa nanti aku dm https://t.co/rBocC1Y4Tf,pad overkontrak avisha residence puri indah november 2025 juli 2026 amp nerusin mau masuk tanggal november abis aku wisuda kalau minat reply yaa nanti aku,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985966672415707560,x,https://x.com/i/web/status/1985966672415707560,1456720031924903941,2025-11-05T07:05:26.000Z,,"toganya unpad bagus banget, PTN lain ga pengen revolusi toga gitu",toga unpad bagus banget ptn lain ken revolusi toga gitu,id,True,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}"
x_1985966638492237892,x,https://x.com/i/web/status/1985966638492237892,1513904900597764098,2025-11-05T07:05:18.000Z,,@alineadotid PAD tuh ky nyawa pembangunan daerah. Bener kata pak tito jgn sampe bocor,pad tuh nyawa bangun daerah benar kata pak tito jgn sampe bocor,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985965903180128651,x,https://x.com/i/web/status/1985965903180128651,1734036638605733888,2025-11-05T07:02:23.000Z,,pad! Mau spill ga kelakuan cowok FIB sejarah 21 yang suka deketin banyak cewek dalam waktu yg bersamaan tapi ngaku nya gak deket siapa siapa bahkan sering banget ngajak cewek ke kost. Brandingannya cowok baik🤮 temen gua udah jd korban dan gue pengen banget spill dari lama!,pad mau spill laku cowok fib sejarah suka deketin banyak cewek waktu sama tapi ngaku nya deket siapa siapa bahkan sering banget ngajak cewek kost brandingannya cowok baik temen gua udah korban gue ken banget spill lama,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985965800981721421,x,https://x.com/i/web/status/1985965800981721421,1734036638605733888,2025-11-05T07:01:59.000Z,,"pad! wts tas c&amp;k, baru sekali pakai dan in such a good condition, minus gada dust bag sama totebag aja (karena awalnya mau dipake kuliah). beli di harga 1,7 jual di 1jt. boleh banget kalo mau nego. kalo minat rep aja ya
der https://t.co/wpdGUbsim4",pad wts tas amp baru sekali pakai such good condition minus gada dust bag sama totebag awal mau dipake kuliah beli harga jual 1jt boleh banget kalau mau nego kalau minat rep der,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}"
x_1985965087807697274,x,https://x.com/i/web/status/1985965087807697274,1679244852079529985,2025-11-05T06:59:09.000Z,,lagi ngeramal hasil penetapan dekan yang tidak transparan itu pad https://t.co/bS2DSop7e0,lagi ngeramal hasil tetap dekan transparan pad,id,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
x_1985964431227175068,x,https://x.com/i/web/status/1985964431227175068,35928987,2025-11-05T06:56:32.000Z,,Bener enih unpad kan universitas pangeran diponegoro https://t.co/UL6wYrNhJz,benar enih unpad kan universitas pangeran diponegoro,id,True,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
